day,title,url
2026-02-15,Article: Building LLMs in Resource-Constrained Environments: A Hands-On Perspective,https://www.infoq.com/articles/building-llms-resource-constrained-environments/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-15,Next Moca Releases Agent Definition Language as an Open Source Specification,https://www.infoq.com/news/2026/02/agent-definition-language/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-15,"Cloudflare Demonstrates Moltworker, Bringing Self-Hosted AI Agents to the Edge",https://www.infoq.com/news/2026/02/cloudflare-moltworker/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-16,GitHub Copilot SDK Lets Developers Integrate Copilot CLI's Engine into Apps,https://www.infoq.com/news/2026/02/github-copilot-sdk/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-16,"QCon Previews 20th Anniversary Conferences: Production AI, Resilience, and Staff+ Engineering",https://www.infoq.com/news/2026/02/qcon-previews-20th-anniversary/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-16,Windsurf Introduces Arena Mode to Compare AI Models During Development,https://www.infoq.com/news/2026/02/windsurf-arena-mode/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-17,Article: From Prompts to Production: a Playbook for Agentic Development,https://www.infoq.com/articles/prompts-to-production-playbook-for-agentic-development/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-17,Pandas 3.0 Introduces Default String Dtype and Copy-on-Write Semantics,https://www.infoq.com/news/2026/02/pandas-library/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-17,Kubernetes Drives AI Expansion as Cultural Shift Becomes Critical,https://www.infoq.com/news/2026/02/kubernetes-ai-culture-impact/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-18,VillageSQL Launches as an Extension-Focused MySQL Fork,https://www.infoq.com/news/2026/02/villagesql-mysql/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-18,OpenAI Scales Single Primary PostgreSQL Instance to Millions of Queries per Second for ChatGPT,https://www.infoq.com/news/2026/02/openai-runs-chatgpt-postgres/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-19,Presentation: Building Embedding Models for Large-Scale Real-World Applications,https://www.infoq.com/presentations/llm-large-scale-applications/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
